2,,11,0,創造的コラボレーション,"自分たちが成長しながら、チーム全体で
世界を変える新しい価値を生み出す。",これから、新しいプロジェクトを始めようとしている。,単に「複数人で何かをつくる」というだけで本当によいものを生み出すこ とは難しい。,"・複数人で分業すると、部分を足しあわせたような成果になってしまう。 
・人によって価値観や信念が異なるため、それらがうまくかみ合うとは限らない。
・ つくることに集中しているときには、つくったものがどのように受け入れられ
るのかを忘れがちになる。",メンバーが互いに高め合いながら成長し、個人には還元できないチームレベルの創発的な勢いに乗りながら、世界を変えるような成果を生み出す。,目指す未来や志に共感できるメンバーと互いに高め合いながら、チーム全体で 成果を生み出す。そのために、創造的になれる時間と場所を確保して、一緒にア イデアを育てていく。そして、自分たちのつくったものが世界でどのような変化 を引き起こすのかを意識しながら仕上げていく。 究極的な「創造的コラボレーション」では、「こうあるべきだという未来」を実 現する「未来への使命感」(No.1)を持って、自分たちなりの「方法のイノベーシ ョン」(No.2)を起こしながら、「伝説をつくる」(No.3)意識で取り組んでいく。 そのような「創造的コラボレーション」の秘訣が、本冊子『Collaboration Patterns』に収録されているので、それを参考にしながら自分たちのコラボレー ションに取り入れて実践するとよい。,人を動かし、世界を変えるような新しい価値を生み出すことができる。また、メンバーがプロジェクトを通して成長し、そのプロジェクトならではの方法も蓄積される。
2,,19,1,未来への使命感,未来のあるべき姿への眼差しから。,プロジェクトを立ち上げようとしている。,こういうことをやりたいというアイデアだけでプロジェクトを進めても、 本当に未来を変えることはできない。,"・自分がよいと思うものが、他の人にとってもよいものだとは限らない。 
・人の心を動かしたり行動を変えたりするようなものでなければ、世界に影響を
及ぼすことはできない。","未来のあるべき姿をイメージし、それを実現しなければという使命感をも
ってプロジェクトに取り組む。",世界はどうあるべきか、あるいは、どういうものがあればよりよくなるか、とい うことを考える。そのとき、単に今のニーズに応えるというよりも、自分たちな りの未来のヴィジョンを描くことから始める。その上で、他でもない自分たちが やるべきことはどれなのかを考え、プロジェクトの目標を定める。自分がやりた いと思うことから考えるのではなく、未来のあるべき姿をイメージして、その未 来と自分とのつながりを見出していくという方向が重要である。,単に自分がやりたいという気持ちを超えて、自分がやらなければならないという覚悟を持って取り組むことができる。さらに、未来を変えるためにいま何をすべきかが明らかになり、社会にインパクトを与えるような成果を生み出すことができる。
2,,8,2,方法のイノベーション,つくるものだけでなく、つくり方もつくる。,プロジェクトの目的をどのように実現するのかを考えている。,従来の方法を踏襲するだけでは、これまでと同じような成果しか生まれな い。,・ 最終的に評価されるのは「結果」であるため、それを生み出す「プロセス」に は目が行きにくい。 ・知らず知らずのうちに既存のものにとらわれてしまう。,成果を生み出すプロセスに着目し、新しい方法を考え、それを実践する。,自分たちが生み出したい成果をつくるための方法を、従来の方法や前例に縛られ ずに自由に発想してみる。例えば、いくつかの要素を組み合わせたり、異なる分 野の方法や仕組みを参考にしたりする。そして、プロジェクトを進める中で、そ の方法を洗練させ、自分たちなりの方法論を確立する。,従来の方法からは発想できないような新しい成果を生み出すことができる。また 方法をつくるためのコツをつかめば、新しいプロジェクトのたびに新しい方法を 生み出すことで、持続的に新しいものを生み出すことができるようになる。
2,,3,3,伝説をつくる,語り継がれるものを目指す。,プロジェクトに取り組んでいる。,プロジェクトの成果が人々の記憶に残らず、一時的な出来事で終わってし まう。,"・どのような分野や業界も、日々、次々と新しい成果が生み出されている。
・よいと評価される程度のものは世に溢れているので埋もれてしまいがちである。
・誰かの記憶に残るためには、強いインパクトが必要となる。
","世界を変えるつもりで徹底したこだわりをもって取り組み、歴史に残
るような成果を生み出す。",ただプロジェクトの成果の完成を目指すのではなく、細部までこだわり抜き徹底 的につくり込む。さらに人々の心を惹きつけて離さないような仕掛けを施し、後々 にも語り継がれるようなプロジェクトに仕上げる。,今まで誰も成し遂げられなかった成果が生み出され、これが人々の心に強いイン パクトを与え、「伝説」として後の世にも語り継がれていく。こうして、次の世 代を担い得る人たちを触発するきっかけとなり、関わったメンバー自身も「伝説」 の人となることで、次世代の人々の間のひとつのモデルとなる可能性がある。
2,,11,4,成長のスパイラル,仲間とともに高め合う。,メンバーとともにプロジェクトに取り組んでいる。,現段階でメンバーができることを基準にプロジェクトを進めてしまう と、チームで取り組むことの魅力が失われてしまう。,"・人が今後どのような成長をするのかは、現段階では不確実である。
・不確実なものに依存するのはリスクとなる。
・未知なるものへの挑戦や自分自身の成長は、さらなるやる気を生じさせる。
","他のメンバーのがんばりや成長から刺激を受けたり、自分から刺激を与え
たりして、お互いに高め合いながらプロジェクトを進める。",創造的コラボレーションでは、成果が生み出されるだけでなく、それを生み出す 過程でメンバー自身も成長する。そのため、プロジェクトの過程で他のメンバー がどのようにがんばり成長を遂げているのかを見て、自分ががんばる原動力にす る。逆に、自分のがんばりや成長が他のメンバーに刺激を与えることがあると考え、 あえてそれらを隠さないようにする。,お互いのがんばりに触発されて、チーム内に成長の上昇気流が生まれる。また、 プロジェクトが進むにつれてメンバーにできることが増えていき、プロジェクト の勢いが加速することになる。さらに、プロジェクトの他のメンバーを尊敬し合 うことにつながり、成長の面でも一体感を感じることができる。
2,,12,5,共感のチームづくり,「目指す未来」や「志」に共感できる仲間と組む。,プロジェクトに参加するメンバーを集めている。,専門性や知識・スキルの「多様性」ばかり重視してメンバーを集めると、 チームがバラバラでうまくいかなくなるリスクが生じる。,"・専門が異なれば、認識や考え方、価値観が根本的に異なる。
・ 自分の専門と異なる人と話すためには、自分の専門の特徴をよく理解した上で、
相手にわかるように話さなければならない。
・ 特定の専門性や知識・スキルが、そのプロジェクトに本当に役立つかどうかは、
実際に取り組んでみないとわからない。",「目指す未来」や「志」に共感できる人とチームを組む。,プロジェクトの目的や意義、今後のヴィジョンを語り、それに共感してくれる人 とチームを組む。プロジェクトに必要となりそうな専門性や知識・スキルを持っ ていることもよいが、あくまでも「目指す未来」や「志」に共感することを優先する。 現在の自分たちに足りない知識やスキルについては、プロジェクトを進めながら、 新しく身につけたり強化したりするとよい。,あらかじめ共有されている目標に向かって、各人がどのような「貢献の領域」(No.8) で貢献するのか、チームとしてどのようなことをしなければならないのかを、全 員で考えることができるようになる。全員がプロジェクトの目指すところに共感 して参加しているので、「自発的なコミットメント」(No.10)も生じやすい。また、 必要に応じて、足りない知識やスキルを身につけることになるので、各人の「成 長のリターン」(No.9)にもつながる。
2,,24,6,レスポンス・ラリー,小さな反応でも、次につながる力になる。,プロジェクトが動きだし、いろいろな報告や連絡、相談などがなされている。,それらの報告・連絡・相談に対して、放置したり、返答を書くのに長い時 間を要したりすると、プロジェクトの進行が滞るだけでなく、それを発信 したメンバーのモチベーションも下げてしまう。,・プロジェクトを進める上で、一人では決められないことが出てくる。 ・重要な案件であるほど、しっかりした返答を書くのには時間がかかる。 ・やるべきことが次々と増えていくときには、後回しにしたものを忘れやすい。,メンバーが投げかけたことに、どんなに小さくてもよいので反応を示す。,口頭の場合には、あいづちを打ったり意見を言ったりして、自分が理解している ことや、賛成なのか反対なのかを相手がわかるように示す。メールの場合には、 簡単な返信でよいので、すぐに返す。全体に関わるような意思決定や相談の場合 には、他の人がリプライしたからといって自分のリプライを省略したりはせず、 同意見であっても自分からの反応として返す。,反応をもらった人は次のステップに進むことができ、全体としてプロジェクトの 進行がスムーズになる。さらに、コミュニケーションが頻繁に起こることによって、 プロジェクトに活気が出てくる。軽快なコミュニケーションの連鎖は「創発的な 勢い」(No.14)を生み出すことにもつながる。
2,,6,7,一体感をつくる,みんなで一つのものをつくっているという感覚を。,プロジェクトが動きだし、メンバーがそれぞれの作業に取り組んでいる。,個々の作業をバラバラにやっているだけでは、徐々に意識のズレが生じて 気持ちが離れていってしまう。,・ コラボレーションは、分業の組み合わせではなく、チーム全体の創造行為である。 ・自分の作業に専念するほど、他の人の活動や結果に意識がいかなくなる。 ・グループごとのまとまりが強くなると、他のグループとの間に壁ができる。,個々の作業のほかに、全員で同じ体験を共有できるような工夫をする。,例えば、全体で集まる時間をとったり、ご飯を一緒に食べたりする。みんなで作 業をしているときに、音楽をかけるだけでも雰囲気は変わってくる。あるいは、 そのチームらしさを象徴するようなアイテムをつくってみたり、チームのメンバ ーだけがわかる内輪の話や決まり事をつくってみたりするという手もある。,メンバー同士の意識がそろいやすくなり、みんなで一つのものをつくっていると いう気持ちが持てるようになる。一体感を持てるようになると個々の作業をして いるときにも孤独を感じることはなくなり、安心して創造的な活動に取り組むこ とができるようになる。また「、成長のスパイラル」(No.4) や「創発的な勢い」(No.14) も起きやすくなる。
2,,21,8,貢献の領域,自分をどこで活かせるのかを考える。,プロジェクトが始まり、これからやることがある程度具体的に見えてきた。,プロジェクトにただ漠然と参加しているだけでは、しっかりと貢献する機 会を得にくく、次第にモチベーションも低下してしまう。,・自分以外の人の得意なことは、聞いたり見たりするまで分からない。 ・ 割り当てられた仕事が、自分の得意な領域や、やりたいことであるとは限らない。 ・やりたくないことや不得意なことに対しては、モチベーションを維持しにくい。,自分の知識やスキルをプロジェクトにどう活かせるのかを、自ら考える。,自分の知識やスキルを活かせる領域を考え、チームのメンバーに伝える。そして、 その領域で積極的に行動し、貢献する。また、それほど経験がないことでも興味 がある領域に関わることで、スキルアップにつなげるのもよい。,自分の「貢献の領域」が他のメンバーにも明らかになる。また、自分が選んだこ となので、モチベーションも高く持つことができる。さらに、お互いの貢献が組 合わさることで、チームを組んで取り組んでいることの意義も実感することにな る。実際に自分がプロジェクトに貢献できているという実感を得れば、プロジェ クトへのやる気はさらに高まる。
2,,19,9,成長のリターン,プロジェクトを通じて、どう成長したいのだろう？,プロジェクトが始まり、これからやることがある程度具体的に見えてきた。,プロジェクトに貢献するという意識だけでは、中長期的に見たときにモチ ベーションを維持できなくなる。,・貢献する気持ちを、いつも強く持ち続けることはできない。 ・自分がやる意義を感じられないものに、一生懸命取り組むことは難しい。,"自分がプロジェクトに参加する意義や、プロジェクトの経験から得たい学
びを明確にする。",例えば、プロジェクトを通して自分の可能性をいかに広げられるのかを、経験の 蓄積、スキルアップ、人との出会いなど、さまざまな視点から考えてみる。お互 いのリターンについて理解し合うために、メンバー同士で語り合う機会を設ける とよい。,参加する意義を明確にし、意識することで、プロジェクトの活動における自分の 成長に気づきやすくなり、モチベーションを持ち続けることにもつながる。さらに、 実際にプロジェクトを通して成長することで、自分の「貢献の領域」(No.8)を広 げることができる。プロジェクトから自分へ、自分からプロジェクトへ、という 好循環が起きる。
